File Path: F:\Lewis Lab\Macy Castaneda\Three-Point-Bending 2022-10-26\C18-RR-M-RF 10-26-2022 1 10 29 PM\Collect Data - (Timed).txt   
Test: 3-point bend for mouse bone
Test Run: C18-RR-M-RF
Date: 10/26/2022 1:09:04 PM


Ch 1 Displacement 	Ch 1 Force 	Ch 2 Torque 	Aux Input 5 	Running Time 
mm	kN	kN·mm	V	sec
-0.310724979499355	-0.0189108009338379	-0.00435648905113339	-0.261944532394409	1.4931640625
-0.315570825478062	-0.0189763355255127	-0.00212764972820878	-0.257629603147507	1.5185546875
-0.318133825203404	-0.0185795764923096	-0.00276133976876736	-0.250670462846756	1.5439453125
-0.326728826621547	-0.0182710342407227	-0.00339598418213427	-0.247452780604362	1.5693359375
-0.329291826346889	-0.0178681449890137	-0.00189627415966243	-0.243418663740158	1.5947265625
-0.334829092025757	-0.0178201599121094	-0.00245735142379999	-0.241735205054283	1.6201171875
-0.339472288032994	-0.0175819206237793	-0.00206681713461876	-0.239945575594902	1.6455078125
-0.345104926964268	-0.0175090713500977	-0.00381578248925507	-0.238383412361145	1.6708984375
-0.349378591636196	-0.0169095859527588	-0.00131672353018075	-0.235405638813972	1.6962890625
-0.35635830136016	-0.0171458129882813	-0.0018786855507642	-0.233989655971527	1.7216796875
-0.359112018486485	-0.0166549587249756	-0.00357259181328118	-0.231756791472435	1.7470703125
-0.365316867828369	-0.0172549438476563	-0.00265453942120075	-0.22883802652359	1.7724609375
-0.371319067198783	-0.0167590274810791	-0.00153225648682564	-0.229983925819397	1.7978515625
-0.374859577277675	-0.016424976348877	-0.00261768582277	-0.222979858517647	1.8232421875
-0.379520643036813	-0.0165285873413086	-0.00197555660270154	-0.220698788762093	1.8486328125
-0.385987746994942	-0.0162397480010986	-0.00192276760935783	-0.21847665309906	1.8740234375
-0.389409076888114	-0.0155116558074951	-0.00217270967550576	-0.215324983000755	1.8994140625
-0.399065029341728	-0.0158006563186646	-0.00292428163811564	-0.213106498122215	1.9248046875
-0.402194273192436	-0.0158642063140869	-0.0015133642591536	-0.209771245718002	1.9501953125
-0.406020873924717	-0.015134952545166	-0.00108739663846791	-0.208496525883675	1.9755859375
-0.412869441788644	-0.015068211555481	-0.002480189781636	-0.206541940569878	2.0009765625
-0.415831804275513	-0.0147874355316162	-0.00195816601626575	-0.207148566842079	2.0263671875
-0.421446573454887	-0.0152935800552368	-0.000659950659610331	-0.201511457562447	2.0517578125
-0.427925580879673	-0.0147895030975342	-0.00128264049999416	-0.202691704034805	2.0771484375
-0.431525695603341	-0.0144026117324829	-0.00187402940355241	-0.197587385773659	2.1025390625
-0.438946473877877	-0.0147083902359009	-0.000350421643815935	-0.196639448404312	2.1279296875
-0.441581010818481	-0.0143227186203003	-0.00277726375497878	-0.195033475756645	2.1533203125
-0.445783138275146	-0.0144761810302734	-0.00242607388645411	-0.192700177431107	2.1787109375
-0.451952219009399	-0.0139308366775513	-0.000420764379668981	-0.188859030604362	2.2041015625
-0.456851732451469	-0.0140498600006104	-0.00227705389261246	-0.186850726604462	2.2294921875
-0.461328017991036	-0.0138312177658081	0.000284991139778867	-0.18401250243187	2.2548828125
-0.467264646431431	-0.0138196506500244	-0.0010120717342943	-0.182263031601906	2.2802734375
-0.473970168968663	-0.0131673612594604	-0.00107865466270596	-0.182615593075752	2.3056640625
-0.477218622108921	-0.0129270944595337	-0.000661848054733127	-0.178893357515335	2.3310546875
-0.482779752928764	-0.0132866134643555	-0.00120541825890541	-0.178443416953087	2.3564453125
-0.487864017486572	-0.0130289163589478	0.00043511696276255	-0.175014138221741	2.3818359375
-0.494885432999581	-0.0127896022796631	-0.000321844534482807	-0.172096267342567	2.4072265625
-0.496393418870866	-0.0126639280319214	-0.00153186079114676	-0.16992375254631	2.4326171875
-0.506329524796456	-0.0122468767166138	-0.000235775645705871	-0.168220996856689	2.4580078125
-0.506263982970268	-0.0123108444213867	-0.000970853259786963	-0.167515724897385	2.4833984375
-0.511324382387102	-0.0123413391113281	-0.00143965741153806	-0.162683576345444	2.5087890625
-0.518321990966797	-0.0120548305511475	-0.000829981523565948	-0.15826553106308	2.5341796875
-0.522375106811523	-0.0111673316955566	-0.000203170973691158	-0.156971737742424	2.5595703125
-0.528639531694353	-0.0116145038604736	-0.00101921893656254	-0.153145715594292	2.5849609375
-0.534349703229964	-0.0118000936508179	-0.000398216972826049	-0.151458755135536	2.6103515625
-0.540024018846452	-0.0108526945114136	-0.000988651416264474	-0.147748738527298	2.6357421875
-0.543206930160522	-0.0101702766418457	0.000104274411569349	-0.145895034074783	2.6611328125
-0.548017036635429	-0.0108623752593994	-0.00153229141142219	-0.145430713891983	2.6865234375
-0.55415031965822	-0.0103550386428833	0.000803685921709985	-0.142462551593781	2.7119140625
-0.559419393539429	-0.0103725843429565	-0.00114470208063722	-0.143453329801559	2.7373046875
-0.566488481126726	-0.010670934677124	0.000763945688959211	-0.14295220375061	2.7626953125
-0.5684494972229	-0.0102173624038696	0.000423162302467972	-0.138848274946213	2.7880859375
-0.574809324461967	-0.0101375379562378	0.000958374759647995	-0.138021856546402	2.8134765625
-0.580275082029402	-0.0103834772109985	0.000514434417709708	-0.137946903705597	2.8388671875
-0.585025525651872	-0.010183479309082	-0.00068301020655781	-0.136537551879883	2.8642578125
-0.588071357924491	-0.0094025239944458	-0.000358825986040756	-0.135822296142578	2.8896484375
-0.594460987485945	-0.00962983417510986	-0.000802021357230842	-0.134178549051285	2.9150390625
-0.599777675233781	-0.010263277053833	-0.000694347952958196	-0.13550341129303	2.9404296875
-0.603657972533256	-0.0100456352233887	-0.000317118538077921	-0.132106244564056	2.9658203125
-0.609695911407471	-0.00983272266387939	-0.00136702146846801	-0.134275853633881	2.9912109375
